split,scenario_token,structural,expandable,fbic_reason,added_atoms,b16_final_action,b24_final_action,final_action_changed,b16_regret,b24_regret,b16_minus_b24_regret_gain,capacity_switch_effect,anchor16,incumbent16,icer_selected16,path16,anchor24,incumbent24,icer_selected24,path24,legacy_admissible16,legacy_admissible24,opportunity16,opportunity24,support_pos_opp16,support_pos_opp24,scalar_pos_opp16,scalar_pos_opp24,both_pos_opp16,both_pos_opp24,selected_positive16,selected_positive24,selected_teacher_improvement16,selected_teacher_improvement24,selected_support16,selected_support24,selected_scalar16,selected_scalar24,selected_dom16,selected_dom24,eligible_alt_count16,eligible_alt_count24,positive_alt_count16,positive_alt_count24,selected_decisive_atom_recall_16,selected_decisive_atom_recall_24,effective_selected_decisive_atom_recall_16,effective_selected_decisive_atom_recall_24,selected_interaction_decisive_atom_recall_16,selected_interaction_decisive_atom_recall_24,effective_selected_interaction_decisive_atom_recall_16,effective_selected_interaction_decisive_atom_recall_24,selected_soft_interaction_decisive_atom_recall_16,selected_soft_interaction_decisive_atom_recall_24,evidence_certificate_fraction_16,evidence_certificate_fraction_24,budget_vs_full_match_16,budget_vs_full_match_24,decisive_frontier_value_residual_rms_16,decisive_frontier_value_residual_rms_24
A,0093e787805e5336,0,0,6,0.0,11,11,0,0.44441795349121094,0.44441795349121094,0.0,unchanged,22,11,11,keep_incumbent,22,11,11,keep_incumbent,1,1,1,1,1,1,1,1,1,1,0,0,nan,nan,2.675416946411133,2.675416946411133,0.5120514631271362,0.5120514631271362,-4.13305139541626,-4.13305139541626,1,1,3,3,0.6666666666666666,0.6666666666666666,1.0,1.0,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,0.0,0.16335031390190125,0.16335031390190125
A,009e8cc411d15658,0,1,0,8.0,9,9,0,0.0,0.0,0.0,unchanged,9,0,9,adm_inc_to_anchor,9,0,9,adm_inc_to_anchor,1,1,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0.5,1.0,0.5,1.0,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,0.03945973515510559,0.0483672097325325
A,00d182d3b5265b4f,0,1,0,8.0,7,7,0,13862.345993274357,13862.345993274357,0.0,unchanged,7,6,7,inadmissible_anchor_relative,7,6,7,inadmissible_anchor_relative,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0.5714285714285714,0.8214285714285714,0.6785714285714286,0.9285714285714286,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,0.0,0.4983005225658417,0.6138451099395752
A,0108636116b053d2,0,1,0,8.0,0,0,0,109380.88179706689,109380.88179706689,0.0,unchanged,0,1,0,inadmissible_anchor_relative,0,1,0,inadmissible_anchor_relative,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0.43478260869565216,0.6956521739130435,0.7391304347826086,1.0,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,0.0,0.7017434239387512,0.860556423664093
A,0126d365ce3e565d,0,0,6,0.0,17,17,0,21.673572957515717,21.673572957515717,0.0,unchanged,25,7,17,direct_alt,25,7,17,direct_alt,1,1,1,1,1,1,1,1,1,1,1,1,0.00036553269564176816,0.00036553269564176816,3.593381643295288,3.593381643295288,1.6382097005844116,1.6382097005844116,2.324131727218628,2.324131727218628,9,9,11,11,0.7272727272727273,0.7272727272727273,1.0,1.0,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,0.0,0.26400595903396606,0.26400595903396606
A,018911d43c825efa,0,1,0,8.0,3,3,0,0.0,0.0,0.0,unchanged,18,3,3,keep_incumbent,18,3,3,keep_incumbent,1,1,0,0,0,0,0,0,0,0,0,0,nan,nan,1.8867069482803345,1.987483263015747,-0.9007205367088318,-1.011394739151001,-5.379885673522949,-5.635570049285889,0,2,0,0,0.5,0.7857142857142857,0.6428571428571429,0.9285714285714286,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,0.0,0.3251534104347229,0.40460747480392456
A,01bf53f910c556d4,1,1,1,0.0,1,1,0,19607.46329365723,19607.46329365723,0.0,unchanged,20,4,4,structural,20,4,4,structural,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.4444444444444444,0.4444444444444444,0.6666666666666666,0.6666666666666666,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,0.0,0.028380002826452255,0.028380002826452255
A,01f1f251860e5170,0,1,0,4.0,17,15,1,0.26917318790219724,1.5026903429534286,-1.2335171550512314,B24_harmful,17,15,17,inadmissible_anchor_relative,16,15,15,keep_incumbent,0,1,0,1,0,0,0,0,0,0,0,0,nan,nan,nan,0.07835081219673157,nan,-1.216044545173645,nan,-6.311390399932861,0,0,0,2,0.7,0.9,0.8,1.0,nan,nan,nan,nan,nan,nan,0.0,1.0,0.0,0.0,0.027683068066835403,0.025585347786545753
A,03381935049a5b2b,0,1,0,6.0,9,9,0,0.0,0.0,0.0,unchanged,9,10,9,inadmissible_anchor_relative,9,10,9,inadmissible_anchor_relative,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0.5,0.6666666666666666,0.8333333333333334,1.0,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,0.01222306303679943,0.014254401437938213
A,0340228ea8ff5749,0,1,0,8.0,7,31,1,10.2987231540028,19796.52853160043,-19786.229808446427,B24_harmful,22,7,7,keep_incumbent,22,31,31,keep_incumbent,1,1,1,1,1,1,0,0,0,0,0,0,nan,nan,1.2251805067062378,1.4752469062805176,-1.2083580493927002,-2.0924811363220215,-5.593991756439209,-5.1836676597595215,0,0,3,5,0.5555555555555556,0.8888888888888888,0.6666666666666666,1.0,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,0.0,0.0860743597149849,0.10727658122777939
