scenario_token,outer_test_fold,calibration_fold,candidate_count,positive_opportunity,mean_selected_action,mean_selected_score,mean_selected_teacher_improvement,pair_selected_action,pair_selected_score,pair_selected_teacher_improvement,selected_policy_conformal_q,main_selected_action,main_selected_lower_bound,main_selected_teacher_improvement,pair_changes_mean_winner,mean_selected,pair_selected,mean_outcome_class,pair_outcome_class,transition_class,pair_minus_mean_teacher_improvement
30e193cab0fc5a5d,0,1,9,0,-1,nan,nan,-1,nan,nan,inf,-1,nan,nan,0,0,0,abstain,abstain,both_abstain,
366e33370f605634,0,1,4,1,27,0.1915479428216904,1.2326923098775557,27,0.14892281244996897,1.2326923098775557,inf,-1,nan,nan,0,1,1,positive,positive,same_winner,0.0
3fabf2e29e5f5fc4,0,1,18,1,22,0.09697913805354474,0.00020328318849216487,-1,nan,nan,inf,-1,nan,nan,1,1,0,positive,abstain,mean_to_abstain,
46f5fac22c0b5cb0,0,1,5,0,9,0.0033822977618594985,-8.506107760786023e-05,-1,nan,nan,inf,-1,nan,nan,1,1,0,nonpositive,abstain,mean_to_abstain,
518c0014d1a45ca8,0,1,13,1,23,0.07073040294863708,9.361144062136617e-05,-1,nan,nan,inf,-1,nan,nan,1,1,0,positive,abstain,mean_to_abstain,
586dc46118d75100,0,1,14,1,2,0.04428261215414886,6.1239467142149e-05,-1,nan,nan,inf,-1,nan,nan,1,1,0,positive,abstain,mean_to_abstain,
6596827fb10b569a,0,1,23,1,16,0.0737383953697977,-0.00025827139809564414,-1,nan,nan,inf,-1,nan,nan,1,1,0,nonpositive,abstain,mean_to_abstain,
8f79455cf8a85fb9,0,1,4,0,2,0.11315014762279446,-0.001960379399235535,-1,nan,nan,inf,-1,nan,nan,1,1,0,nonpositive,abstain,mean_to_abstain,
b2f2a9a83437555c,0,1,1,0,-1,nan,nan,-1,nan,nan,inf,-1,nan,nan,0,0,0,abstain,abstain,both_abstain,
d1d8fef2f07e554f,0,1,27,1,19,0.21804123823739674,-6.528710596098719e-05,-1,nan,nan,inf,-1,nan,nan,1,1,0,nonpositive,abstain,mean_to_abstain,
d3578202f06d5c62,0,1,25,1,26,0.028033679162467184,8.269424438478445e-05,-1,nan,nan,inf,-1,nan,nan,1,1,0,positive,abstain,mean_to_abstain,
e7ee1c000ef85255,0,1,16,1,16,0.02226791904833758,0.0007797487317584562,-1,nan,nan,inf,-1,nan,nan,1,1,0,positive,abstain,mean_to_abstain,
e8a90962974f55d3,0,1,12,1,-1,nan,nan,-1,nan,nan,inf,-1,nan,nan,0,0,0,abstain,abstain,both_abstain,
f390221c855a53d1,0,1,17,1,23,0.08005851339951131,0.00017691048837065182,-1,nan,nan,inf,-1,nan,nan,1,1,0,positive,abstain,mean_to_abstain,
f473bc020969511e,0,1,24,1,20,0.1815028307321061,0.002488068208759131,-1,nan,nan,inf,-1,nan,nan,1,1,0,positive,abstain,mean_to_abstain,
5eae283cb1b95a45,0,1,6,1,24,0.06740810829604321,-0.0005279554278589786,-1,nan,nan,inf,-1,nan,nan,1,1,0,nonpositive,abstain,mean_to_abstain,
ea5915d23f345a29,0,1,6,1,23,0.11519613478557128,-0.00014573692362762625,-1,nan,nan,inf,-1,nan,nan,1,1,0,nonpositive,abstain,mean_to_abstain,
190d01845dda5596,0,1,4,0,-1,nan,nan,-1,nan,nan,inf,-1,nan,nan,0,0,0,abstain,abstain,both_abstain,
247baf6242815059,0,1,20,1,13,0.03830345131321039,-0.00036880981139838717,-1,nan,nan,inf,-1,nan,nan,1,1,0,nonpositive,abstain,mean_to_abstain,
273d4e72b01d53cf,0,1,14,1,10,0.05430970129637486,-1.600505558684422,-1,nan,nan,inf,-1,nan,nan,1,1,0,catastrophic,abstain,mean_to_abstain,
275e9cfb52fd59de,0,1,12,1,0,0.5349252033628411,3.495505400518321,0,1.2261373654197398,3.495505400518321,inf,-1,nan,nan,0,1,1,positive,positive,same_winner,0.0
4082f94c512b5d1f,0,1,14,1,21,0.08561081101544205,0.0005595678238314861,-1,nan,nan,inf,-1,nan,nan,1,1,0,positive,abstain,mean_to_abstain,
421dd5398e885a27,0,1,18,1,2,0.032398172261472624,5.4842675477266394e-05,-1,nan,nan,inf,-1,nan,nan,1,1,0,positive,abstain,mean_to_abstain,
53620555ea3a5d3c,0,1,9,1,19,0.059070654732076344,0.00018146185590683928,-1,nan,nan,inf,-1,nan,nan,1,1,0,positive,abstain,mean_to_abstain,
60bd62401d0857f9,0,1,15,1,22,0.041279288825144866,-5.674398746347009e-05,-1,nan,nan,inf,-1,nan,nan,1,1,0,nonpositive,abstain,mean_to_abstain,
6db53a1807af5a90,0,1,13,0,2,0.03632275183161143,-1.5162776317190207e-05,-1,nan,nan,inf,-1,nan,nan,1,1,0,nonpositive,abstain,mean_to_abstain,
8e6c888a92425ff1,0,1,6,1,1,0.08055826141252748,0.00030813117888772723,-1,nan,nan,inf,-1,nan,nan,1,1,0,positive,abstain,mean_to_abstain,
9a82cf7a1636581e,0,1,5,0,2,0.06987484598287041,-0.004264268382638825,-1,nan,nan,inf,-1,nan,nan,1,1,0,nonpositive,abstain,mean_to_abstain,
c70bcca6e16953d7,0,1,14,1,10,0.08516606419750289,0.0003409750871363748,-1,nan,nan,inf,-1,nan,nan,1,1,0,positive,abstain,mean_to_abstain,
d04f957744a353ba,0,1,10,1,21,0.07206232289691489,0.00016387412324547768,-1,nan,nan,inf,-1,nan,nan,1,1,0,positive,abstain,mean_to_abstain,
d0c144dfeca55025,0,1,25,1,22,0.022439760905213213,-0.00010299410598381756,-1,nan,nan,inf,-1,nan,nan,1,1,0,nonpositive,abstain,mean_to_abstain,
f6cbfc9328fd5914,0,1,5,1,15,0.20310509567864804,0.0028377727983173173,15,0.4281482417656892,0.0028377727983173173,inf,-1,nan,nan,0,1,1,positive,positive,same_winner,0.0
d0ce91bcf7ba557a,0,1,2,1,2,0.007635400155828587,0.24257259491190777,-1,nan,nan,inf,-1,nan,nan,1,1,0,positive,abstain,mean_to_abstain,
00bf712a8e9e59bf,0,1,1,0,2,0.006885665557712195,-2.6145104679828512,-1,nan,nan,inf,-1,nan,nan,1,1,0,catastrophic,abstain,mean_to_abstain,
07db46e8eac253cf,0,1,12,1,16,0.02664506343120643,0.7593208522055517,-1,nan,nan,inf,-1,nan,nan,1,1,0,positive,abstain,mean_to_abstain,
13adf1483845581c,0,1,18,1,21,0.08858535177853816,0.0006412762776015768,-1,nan,nan,inf,-1,nan,nan,1,1,0,positive,abstain,mean_to_abstain,
2ffe7083e279569c,0,1,15,1,3,0.08951496685061389,0.00016050723339500195,-1,nan,nan,inf,-1,nan,nan,1,1,0,positive,abstain,mean_to_abstain,
36857cb219845df9,0,1,14,1,7,0.0797355341918155,0.00013242636164667587,-1,nan,nan,inf,-1,nan,nan,1,1,0,positive,abstain,mean_to_abstain,
6f8bc109eabc5ad5,0,1,4,1,19,0.005665442562818257,-4.585174424573402e-06,-1,nan,nan,inf,-1,nan,nan,1,1,0,nonpositive,abstain,mean_to_abstain,
8fbfbaa44855539e,0,1,16,0,-1,nan,nan,-1,nan,nan,inf,-1,nan,nan,0,0,0,abstain,abstain,both_abstain,
b66888a9942d59ff,0,1,5,1,20,0.044845182015828544,0.0031616590492427347,-1,nan,nan,inf,-1,nan,nan,1,1,0,positive,abstain,mean_to_abstain,
e4f303186cdb50b1,0,1,4,1,19,0.007525228938641659,-4.3645644211215764e-06,-1,nan,nan,inf,-1,nan,nan,1,1,0,nonpositive,abstain,mean_to_abstain,
ee17abab9d83514f,0,1,4,0,7,0.8819264104701066,-1.98244095368525,7,0.8313715904837852,-1.98244095368525,inf,-1,nan,nan,0,1,1,catastrophic,catastrophic,same_winner,0.0
5b4aedf8449c54ca,0,1,4,1,3,0.05274671318238611,-0.0011265146814285476,-1,nan,nan,inf,-1,nan,nan,1,1,0,nonpositive,abstain,mean_to_abstain,
73458ba61f445d19,0,1,16,1,9,0.11127666476591097,-2.754281880346099e-06,-1,nan,nan,inf,-1,nan,nan,1,1,0,nonpositive,abstain,mean_to_abstain,
7647b4788f795d71,0,1,1,1,-1,nan,nan,-1,nan,nan,inf,-1,nan,nan,0,0,0,abstain,abstain,both_abstain,
8f2f7b6da7495074,0,1,22,1,19,0.05757445087373514,0.00015492076352252582,-1,nan,nan,inf,-1,nan,nan,1,1,0,positive,abstain,mean_to_abstain,
c23e9cc0ed7e5b21,0,1,17,1,3,0.14962042560208494,0.0016556329336947506,-1,nan,nan,inf,-1,nan,nan,1,1,0,positive,abstain,mean_to_abstain,
cdfa6ac2b00156d1,0,1,10,0,-1,nan,nan,-1,nan,nan,inf,-1,nan,nan,0,0,0,abstain,abstain,both_abstain,
16599b5179df53bb,0,1,7,0,-1,nan,nan,-1,nan,nan,inf,-1,nan,nan,0,0,0,abstain,abstain,both_abstain,
181f26554b4b5e75,0,1,15,0,2,0.04590297686615569,-7.666432450204042e-06,-1,nan,nan,inf,-1,nan,nan,1,1,0,nonpositive,abstain,mean_to_abstain,
21411e892e975adf,0,1,3,0,-1,nan,nan,-1,nan,nan,inf,-1,nan,nan,0,0,0,abstain,abstain,both_abstain,
24f940b7a94f5ed7,0,1,17,0,3,0.09604523766103806,-0.0003130765174522987,-1,nan,nan,inf,-1,nan,nan,1,1,0,nonpositive,abstain,mean_to_abstain,
257140a662885e1d,0,1,7,1,2,0.12481470682813767,0.0005732820384669601,-1,nan,nan,inf,-1,nan,nan,1,1,0,positive,abstain,mean_to_abstain,
3e1e8ae126d0578f,0,1,15,1,7,0.12807206610095628,-0.0015343082074075938,-1,nan,nan,inf,-1,nan,nan,1,1,0,nonpositive,abstain,mean_to_abstain,
40d5b1af93cf50e4,0,1,12,1,4,0.033981970839618125,8.93150708446977e-05,-1,nan,nan,inf,-1,nan,nan,1,1,0,positive,abstain,mean_to_abstain,
