scenario_token,outer_test_fold,calibration_fold,candidate_count,positive_opportunity,teacher_best_action,teacher_best_improvement,mean_selected_action,mean_selected_teacher_improvement,pair_selected_action,pair_selected_teacher_improvement,rsm_selected_action,rsm_selected_score,rsm_selected_teacher_improvement,factor_selected_action,factor_selected_score,factor_selected_teacher_improvement,context_selected_action,context_selected_score,context_selected_teacher_improvement,selected_policy_conformal_q,main_selected_action,main_selected_lower_bound,main_selected_teacher_improvement,factor_selected,context_selected,rsm_selected,fdsrc_to_fbcsr_transition,fbcsr_minus_fdsr_teacher_effect,fbcsr_effect_sign,fdsrc_catastrophe,fbcsr_catastrophe,rsmr_catastrophe,noop_scene
30e193cab0fc5a5d,0,1,9,0,-1,0.0,-1,nan,-1,nan,-1,nan,nan,2,0.342686094723934,-9.077051957137854e-05,2,0.327841638061269,-9.077051957137854e-05,2.5571358243205893,-1,-2.2292941862593203,nan,1,1,0,same_winner,0.0,equal,0,0,0,1
366e33370f605634,0,1,4,1,28,1.2326923098775557,27,1.2326923098775557,27,1.2326923098775557,28,0.1768938681841109,1.2326923098775557,27,0.4671084649897862,1.2326923098775557,27,0.6612237388467636,1.2326923098775557,2.5571358243205893,-1,-1.8959120854738258,nan,1,1,1,same_winner,0.0,equal,0,0,0,0
3fabf2e29e5f5fc4,0,1,18,1,22,0.00020328318849216487,22,0.00020328318849216487,-1,nan,22,0.13640865119684364,0.00020328318849216487,22,0.5712982352587042,0.00020328318849216487,22,0.9314541253262888,0.00020328318849216487,2.5571358243205893,-1,-1.6256816989943004,nan,1,1,1,same_winner,0.0,equal,0,0,0,0
46f5fac22c0b5cb0,0,1,5,0,-1,0.0,9,-8.506107760786023e-05,-1,nan,5,0.0060178534605635214,-0.0008687456113751976,2,0.4474916987593546,-0.0002563782177030585,5,0.23403829594797665,-0.0008687456113751976,2.5571358243205893,-1,-2.3230975283726125,nan,1,1,1,winner_changed,-0.0006123673936721391,FBCSR_worse,0,0,0,1
518c0014d1a45ca8,0,1,13,1,23,9.361144062136617e-05,23,9.361144062136617e-05,-1,nan,12,0.27116499328882765,-0.00013040864672486663,12,0.6878235272080953,-0.00013040864672486663,12,0.7242795104979425,-0.00013040864672486663,2.5571358243205893,-1,-1.8328563138226468,nan,1,1,1,same_winner,0.0,equal,0,0,0,0
586dc46118d75100,0,1,14,1,16,6.79334894288508e-05,2,6.1239467142149e-05,-1,nan,9,0.27742879555935296,-0.00040474789324213,9,0.6410530980976068,-0.00040474789324213,9,0.3639936576969167,-0.00040474789324213,2.5571358243205893,-1,-2.1931421666236726,nan,1,1,1,same_winner,0.0,equal,0,0,0,0
6596827fb10b569a,0,1,23,1,1,0.0005793339748345616,16,-0.00025827139809564414,-1,nan,1,0.08223802716861195,0.0005793339748345616,1,0.36740492072800734,0.0005793339748345616,1,1.4757382692696501,0.0005793339748345616,2.5571358243205893,-1,-1.0813975550509392,nan,1,1,1,same_winner,0.0,equal,0,0,0,0
8f79455cf8a85fb9,0,1,4,0,-1,0.0,2,-0.001960379399235535,-1,nan,-1,nan,nan,2,0.28433202609929575,-0.001960379399235535,2,0.11441550923295152,-0.001960379399235535,2.5571358243205893,-1,-2.4427203150876378,nan,1,1,0,same_winner,0.0,equal,0,0,0,1
b2f2a9a83437555c,0,1,1,0,-1,0.0,-1,nan,-1,nan,7,0.1282250643340419,-0.0007529566446319302,7,0.557616988732616,-0.0007529566446319302,-1,nan,nan,2.5571358243205893,-1,nan,nan,1,0,1,FDSR_to_abstain,0.0007529566446319302,FBCSR_better,0,0,0,1
d1d8fef2f07e554f,0,1,27,1,18,3.4582567781660245e-05,19,-6.528710596098719e-05,-1,nan,19,0.2587082015109109,-6.528710596098719e-05,19,0.3616879712812286,-6.528710596098719e-05,19,1.155268764098898,-6.528710596098719e-05,2.5571358243205893,-1,-1.4018670602216914,nan,1,1,1,same_winner,0.0,equal,0,0,0,0
d3578202f06d5c62,0,1,25,1,0,0.00012394150644556845,26,8.269424438478445e-05,-1,nan,26,0.07564103257477955,8.269424438478445e-05,26,0.5028902823196493,8.269424438478445e-05,26,2.1577830453826126,8.269424438478445e-05,2.5571358243205893,-1,-0.3993527789379767,nan,1,1,1,same_winner,0.0,equal,0,0,0,0
e7ee1c000ef85255,0,1,16,1,16,0.0007797487317584562,16,0.0007797487317584562,-1,nan,9,0.13871987374976466,0.0005864605173468984,9,0.5499267577682506,0.0005864605173468984,9,0.46045449822694784,0.0005864605173468984,2.5571358243205893,-1,-2.096681326093641,nan,1,1,1,same_winner,0.0,equal,0,0,0,0
