scenario_token,outer_test_fold,calibration_fold,candidate_count,positive_opportunity,rsm_selected_action,rsm_selected_score,rsm_selected_teacher_improvement,basepoint_selected_action,basepoint_reservation,basepoint_adjusted_margin,basepoint_selected_teacher_improvement,geometry_selected_action,geometry_reservation,geometry_adjusted_margin,geometry_selected_teacher_improvement,rsm_proposal_exists,rsm_positive,rsm_catastrophic,rsm_noop_false,basepoint_accepts_rsmr,sgrr_accepts_rsmr,sgrr_removed_rsmr,rsm_outcome_class
30e193cab0fc5a5d,0,1,9,0,-1,,,-1,0.0,,,-1,0.0,,,0,0,0,0,0,0,0,abstain
366e33370f605634,0,1,4,1,28,0.1768938681841109,1.2326923098775555,-1,0.4476454837853826,-0.2707516156012717,,-1,0.400021235552006,-0.2231273673678951,,1,1,0,0,0,0,1,positive
3fabf2e29e5f5fc4,0,1,18,1,22,0.1364086511968436,0.0002032831884921,-1,0.1741032662370146,-0.0376946150401709,,-1,0.1910778070080976,-0.0546691558112539,,1,1,0,0,0,0,1,positive
46f5fac22c0b5cb0,0,1,5,0,5,0.0060178534605635,-0.0008687456113751,-1,0.4067360243451146,-0.4007181708845511,,-1,0.0766752776330339,-0.0706574241724704,,1,0,0,1,0,0,1,harmful_no_opportunity
518c0014d1a45ca8,0,1,13,1,12,0.2711649932888276,-0.0001304086467248,-1,0.3558749153748716,-0.084709922086044,,-1,0.3490586801232817,-0.077893686834454,,1,0,0,0,0,0,1,harmful_opportunity
586dc46118d75100,0,1,14,1,9,0.2774287955593529,-0.0004047478932421,-1,0.2872829068902642,-0.0098541113309112,,9,0.25106601662556,0.0263627789337929,-0.0004047478932421,1,0,0,0,0,1,0,harmful_opportunity
6596827fb10b569a,0,1,23,1,1,0.0822380271686119,0.0005793339748345,-1,0.3898957095047639,-0.307657682336152,,-1,0.1973728266048133,-0.1151347994362013,,1,1,0,0,0,0,1,positive
8f79455cf8a85fb9,0,1,4,0,-1,,,-1,0.0,,,-1,0.0,,,0,0,0,0,0,0,0,abstain
b2f2a9a83437555c,0,1,1,0,7,0.1282250643340419,-0.0007529566446319,-1,0.3128195299162397,-0.1845944655821977,,-1,0.1887800392011917,-0.0605549748671498,,1,0,0,1,0,0,1,harmful_no_opportunity
d1d8fef2f07e554f,0,1,27,1,19,0.2587082015109109,-6.528710596098719e-05,19,0.0462844617725763,0.2124237397383345,-6.528710596098719e-05,19,0.2054187424112309,0.0532894590996799,-6.528710596098719e-05,1,0,0,0,1,1,0,harmful_opportunity
d3578202f06d5c62,0,1,25,1,26,0.0756410325747795,8.269424438478445e-05,-1,0.1901548945625576,-0.1145138619877781,,-1,0.2530877508061805,-0.1774467182314009,,1,1,0,0,0,0,1,positive
e7ee1c000ef85255,0,1,16,1,9,0.1387198737497646,0.0005864605173468,-1,0.2829661873155785,-0.1442463135658138,,-1,0.1594822467625208,-0.0207623730127562,,1,1,0,0,0,0,1,positive
e8a90962974f55d3,0,1,12,1,-1,,,-1,0.0,,,-1,0.0,,,0,0,0,0,0,0,0,abstain
f390221c855a53d1,0,1,17,1,23,0.1231167918763268,0.0001769104883706,-1,0.195165308235953,-0.0720485163596262,,-1,0.159177869397031,-0.0360610775207041,,1,1,0,0,0,0,1,positive
f473bc020969511e,0,1,24,1,2,0.3726935804696051,0.002340053756078,2,0.2319551820545637,0.1407383984150413,0.002340053756078,-1,0.5936223403422517,-0.2209287598726466,,1,1,0,0,1,0,1,positive
5eae283cb1b95a45,0,1,6,1,25,0.168801985923207,0.0002113920846953,-1,0.2356718292738064,-0.0668698433505994,,-1,0.3078719690866892,-0.1390699831634821,,1,1,0,0,0,0,1,positive
ea5915d23f345a29,0,1,6,1,26,0.253337737852979,-6.736000906726325e-06,26,0.1160507162695291,0.1372870215834498,-6.736000906726325e-06,26,0.1353212637742378,0.1180164740787411,-6.736000906726325e-06,1,0,0,0,1,1,0,harmful_opportunity
190d01845dda5596,0,1,4,0,-1,,,-1,0.0,,,-1,0.0,,,0,0,0,0,0,0,0,abstain
247baf6242815059,0,1,20,1,12,0.1064046111683757,-0.0004707026612013,-1,0.2623990374288182,-0.1559944262604424,,-1,0.3262457022980533,-0.2198410911296776,,1,0,0,0,0,0,1,harmful_opportunity
273d4e72b01d53cf,0,1,14,1,8,0.1059558045640616,-1.5629368781690487,-1,0.337651895151789,-0.2316960905877274,,-1,0.1790667333735058,-0.0731109288094441,,1,0,1,0,0,0,1,catastrophe
275e9cfb52fd59de,0,1,12,1,8,0.9052465347908496,0.1272746219409324,8,0.809297977832269,0.0959485569585805,0.1272746219409324,-1,1.292221461309117,-0.3869749265182675,,1,1,0,0,1,0,1,positive
4082f94c512b5d1f,0,1,14,1,23,0.0538410789147204,-0.0001477490439216,-1,0.0676330279136625,-0.0137919489989421,,-1,0.144368416639864,-0.0905273377251436,,1,0,0,0,0,0,1,harmful_opportunity
421dd5398e885a27,0,1,18,1,22,0.1664662853767564,-0.0001146473528817,-1,0.2034475259543555,-0.0369812405775991,,-1,0.2541888578251306,-0.0877225724483741,,1,0,0,0,0,0,1,harmful_opportunity
53620555ea3a5d3c,0,1,9,1,21,0.1628050291701029,0.0,-1,0.2369447623915717,-0.0741397332214688,,21,0.1099885856559081,0.0528164435141947,0.0,1,0,0,0,0,1,0,harmful_opportunity
60bd62401d0857f9,0,1,15,1,22,0.2339518121083311,-5.674398746347009e-05,22,0.1455773532964717,0.0883744588118593,-5.674398746347009e-05,-1,0.3010504532995968,-0.0670986411912657,,1,0,0,0,1,0,1,harmful_opportunity
6db53a1807af5a90,0,1,13,0,-1,,,-1,0.0,,,-1,0.0,,,0,0,0,0,0,0,0,abstain
8e6c888a92425ff1,0,1,6,1,1,0.1510891908982271,0.0003081311788877,1,0.0542166943171434,0.0968724965810837,0.0003081311788877,1,0.0760189785687105,0.0750702123295166,0.0003081311788877,1,1,0,0,1,1,0,positive
9a82cf7a1636581e,0,1,5,0,2,0.0756104859967904,-0.0042642683826388,-1,0.3861951056908298,-0.3105846196940393,,-1,0.2300570015678943,-0.1544465155711038,,1,0,0,1,0,0,1,harmful_no_opportunity
c70bcca6e16953d7,0,1,14,1,10,0.0393977324969763,0.0003409750871363,-1,0.0801571868196589,-0.0407594543226826,,-1,0.1237549864487698,-0.0843572539517934,,1,1,0,0,0,0,1,positive
d04f957744a353ba,0,1,10,1,21,0.1639535399829263,0.0001638741232454,-1,0.2457811078407275,-0.0818275678578011,,-1,0.3038330230932147,-0.1398794831102884,,1,1,0,0,0,0,1,positive
d0c144dfeca55025,0,1,25,1,22,0.0984392131428491,-0.0001029941059838,22,0.0926490542845363,0.0057901588583127,-0.0001029941059838,-1,0.1941059352196542,-0.095666722076805,,1,0,0,0,1,0,1,harmful_opportunity
f6cbfc9328fd5914,0,1,5,1,15,0.5971377137121933,0.0028377727983173,-1,1.023465103428414,-0.4263273897162206,,-1,0.8430486259422165,-0.2459109122300232,,1,1,0,0,0,0,1,positive
d0ce91bcf7ba557a,0,1,2,1,-1,,,-1,0.0,,,-1,0.0,,,0,0,0,0,0,0,0,abstain
00bf712a8e9e59bf,0,1,1,0,-1,,,-1,0.0,,,-1,0.0,,,0,0,0,0,0,0,0,abstain
07db46e8eac253cf,0,1,12,1,16,0.2530217512025169,0.7593208522055517,16,0.2248382178455878,0.028183533356929,0.7593208522055517,-1,0.4311980282250053,-0.1781762770224884,,1,1,0,0,1,0,1,positive
13adf1483845581c,0,1,18,1,21,0.1275596190793776,0.0006412762776015,-1,0.2378728182523809,-0.1103131991730033,,21,0.1087270536499798,0.0188325654293977,0.0006412762776015,1,1,0,0,0,1,0,positive
2ffe7083e279569c,0,1,15,1,3,0.0759099948208489,0.000160507233395,-1,0.2071221370617871,-0.1312121422409382,,-1,0.1104437541943106,-0.0345337593734617,,1,1,0,0,0,0,1,positive
36857cb219845df9,0,1,14,1,7,0.0111505997441622,0.0001324263616466,-1,0.2347260398439926,-0.2235754400998303,,-1,0.1072825467567938,-0.0961319470126316,,1,1,0,0,0,0,1,positive
6f8bc109eabc5ad5,0,1,4,1,19,0.0332843123644923,-4.585174424573402e-06,-1,0.1564112334467838,-0.1231269210822914,,-1,0.0794937743329785,-0.0462094619684861,,1,0,0,0,0,0,1,harmful_opportunity
8fbfbaa44855539e,0,1,16,0,-1,,,-1,0.0,,,-1,0.0,,,0,0,0,0,0,0,0,abstain
b66888a9942d59ff,0,1,5,1,22,0.0891914892984824,0.0031217700053006,-1,0.3065407997100907,-0.2173493104116082,,-1,0.2411077759200839,-0.1519162866216014,,1,1,0,0,0,0,1,positive
e4f303186cdb50b1,0,1,4,1,19,0.0360059972796644,-4.364564421121576e-06,-1,0.1592175551110897,-0.1232115578314252,,-1,0.078809155334664,-0.0428031580549996,,1,0,0,0,0,0,1,harmful_opportunity
ee17abab9d83514f,0,1,4,0,17,0.2661902593227762,-5.260109603405505e-05,-1,1.0037823427113373,-0.737592083388561,,-1,0.3967853168733253,-0.130595057550549,,1,0,0,1,0,0,1,harmful_no_opportunity
5b4aedf8449c54ca,0,1,4,1,1,0.3036981106646081,0.0013290141742676,-1,0.4362490923525193,-0.1325509816879111,,-1,0.4273855591606894,-0.1236874484960812,,1,1,0,0,0,0,1,positive
73458ba61f445d19,0,1,16,1,9,0.0692067774063314,-2.754281880346099e-06,-1,0.2922393453796702,-0.2230325679733387,,-1,0.1437827305425521,-0.0745759531362206,,1,0,0,0,0,0,1,harmful_opportunity
7647b4788f795d71,0,1,1,1,1,0.2369589393802825,0.0035336643615271,-1,0.4297675603493489,-0.1928086209690663,,1,0.192455522105699,0.0445034172745834,0.0035336643615271,1,1,0,0,0,1,0,positive
8f2f7b6da7495074,0,1,22,1,6,0.2750697190322527,-0.0030044126219674,6,0.2400100871975232,0.0350596318347294,-0.0030044126219674,6,0.2053410405910427,0.0697286784412099,-0.0030044126219674,1,0,0,0,1,1,0,harmful_opportunity
c23e9cc0ed7e5b21,0,1,17,1,3,0.0494992337730325,0.0016556329336947,-1,0.0695133122658196,-0.0200140784927871,,-1,0.1678159195842086,-0.118316685811176,,1,1,0,0,0,0,1,positive
cdfa6ac2b00156d1,0,1,10,0,-1,,,-1,0.0,,,-1,0.0,,,0,0,0,0,0,0,0,abstain
16599b5179df53bb,0,1,7,0,-1,,,-1,0.0,,,-1,0.0,,,0,0,0,0,0,0,0,abstain
181f26554b4b5e75,0,1,15,0,9,0.2131053279119143,-0.0001236836064255,9,0.0164808116698462,0.1966245162420681,-0.0001236836064255,9,0.1938801258676803,0.0192252020442339,-0.0001236836064255,1,0,0,1,1,1,0,harmful_no_opportunity
21411e892e975adf,0,1,3,0,-1,,,-1,0.0,,,-1,0.0,,,0,0,0,0,0,0,0,abstain
24f940b7a94f5ed7,0,1,17,0,3,0.0788292181613854,-0.0003130765174522,-1,0.174157361163781,-0.0953281430023955,,-1,0.1331734578208508,-0.0543442396594653,,1,0,0,1,0,0,1,harmful_no_opportunity
257140a662885e1d,0,1,7,1,3,0.0516886667898204,0.000522074045008,-1,0.2419007591262886,-0.1902120923364682,,-1,0.075019224687655,-0.0233305578978346,,1,1,0,0,0,0,1,positive
3e1e8ae126d0578f,0,1,15,1,-1,,,-1,0.0,,,-1,0.0,,,0,0,0,0,0,0,0,abstain
40d5b1af93cf50e4,0,1,12,1,4,0.1144445606696137,8.93150708446977e-05,-1,0.2851574484580684,-0.1707128877884546,,-1,0.1195769957096096,-0.0051324350399959,,1,1,0,0,0,0,1,positive
4b30de14589f513c,0,1,14,1,23,0.1239261711985639,0.0002240603599697,23,0.119595253240441,0.0043309179581229,0.0002240603599697,-1,0.1431924153176899,-0.019266244119126,,1,1,0,0,1,0,1,positive
648d283b25fa50d1,0,1,4,0,23,0.2530075331405964,-0.0001290052613243,-1,0.4357178241282289,-0.1827102909876325,,-1,0.4924521072341435,-0.2394445740935472,,1,0,0,1,0,0,1,harmful_no_opportunity
651762602ed854bf,0,1,1,1,-1,,,-1,0.0,,,-1,0.0,,,0,0,0,0,0,0,0,abstain
864541f05d165c97,0,1,2,1,21,0.1935085229851983,7.027299320325284e-05,-1,0.5664592816958505,-0.3729507587106522,,-1,0.4001263150336364,-0.206617792048438,,1,1,0,0,0,0,1,positive
a054dd394e1b559c,0,1,17,1,21,0.4527756639738644,0.0004801966886094,21,0.3124358231655467,0.1403398408083176,0.0004801966886094,-1,0.6467778133701757,-0.1940021493963112,,1,1,0,0,1,0,1,positive
b7c6fe6429785952,0,1,15,1,22,0.1393431402315217,6.060907109617375e-05,-1,0.2415821313036337,-0.1022389910721119,,22,0.1052799456628273,0.0340631945686944,6.060907109617375e-05,1,1,0,0,0,1,0,positive
c031140da54d502a,0,1,17,1,3,0.1299209399720031,0.9911725879896434,3,0.0674068742904945,0.0625140656815086,0.9911725879896434,-1,0.1666101999679551,-0.0366892599959519,,1,1,0,0,1,0,1,positive
cdabe76a1ba75152,0,1,16,1,3,0.5871673676194018,0.990668047375232,3,0.1921774933054238,0.394989874313978,0.990668047375232,3,0.4909110831531481,0.0962562844662537,0.990668047375232,1,1,0,0,1,1,0,positive
cdccf3dfd4e153cc,0,1,24,1,21,0.4473879834141613,0.0025033863656862,21,0.2973132962173546,0.1500746871968066,0.0025033863656862,-1,0.5436843807552147,-0.0962963973410534,,1,1,0,0,1,0,1,positive
d3e0b427c9095c6f,0,1,17,1,9,0.2384780682024984,0.0002687987604178,9,0.1887402089313891,0.0497378592711092,0.0002687987604178,9,0.1379678731546762,0.1005101950478221,0.0002687987604178,1,1,0,0,1,1,0,positive
d86f407ee78151b0,0,1,5,1,-1,,,-1,0.0,,,-1,0.0,,,0,0,0,0,0,0,0,abstain
de2c82b474d85dd5,0,1,17,1,9,0.2025328713640982,0.0006124333238229,-1,0.2306787911460801,-0.0281459197819818,,9,0.1784530732756942,0.024079798088404,0.0006124333238229,1,1,0,0,0,1,0,positive
046577552dd15fc3,0,1,15,1,-1,,,-1,0.0,,,-1,0.0,,,0,0,0,0,0,0,0,abstain
1f8c9456286d59fb,0,1,17,0,9,0.1605581158987417,-0.0006121215932071,-1,0.2040935852650242,-0.0435354693662825,,9,0.13433390573884,0.0262242101599016,-0.0006121215932071,1,0,0,1,0,1,0,harmful_no_opportunity
369040b3134c5769,0,1,17,1,-1,,,-1,0.0,,,-1,0.0,,,0,0,0,0,0,0,0,abstain
39dca464ed145043,0,1,17,1,3,0.0557550442093209,1.3998703285889036e-05,-1,0.1246856282875379,-0.0689305840782169,,-1,0.2191828446280109,-0.16342780041869,,1,1,0,0,0,0,1,positive
3e940b9ccdf456b7,0,1,17,1,3,0.0558152016575229,-0.0098371612697842,-1,0.1255088034823274,-0.0696936018248045,,-1,0.2187132287689214,-0.1628980271113984,,1,0,0,0,0,0,1,harmful_opportunity
4f74e2eb505a5fd0,0,1,9,0,7,0.0179788836892131,-0.2430389412705786,-1,0.2570680232456587,-0.2390891395564455,,-1,0.0746734552630076,-0.0566945715737944,,1,0,0,1,0,0,1,harmful_no_opportunity
524cadd627f25d7f,0,1,8,0,7,0.0439366670846383,-0.2439054437735635,-1,0.2873603852015378,-0.2434237181168995,,-1,0.0698476105287038,-0.0259109434440654,,1,0,0,1,0,0,1,harmful_no_opportunity
70c45003ec3e527b,0,1,1,0,9,0.0495696802295063,-0.0006647571086881,-1,0.305600815607645,-0.2560311353781387,,-1,0.1861212861722875,-0.1365516059427812,,1,0,0,1,0,0,1,harmful_no_opportunity
b1bfa52c4bc452b7,0,1,17,1,-1,,,-1,0.0,,,-1,0.0,,,0,0,0,0,0,0,0,abstain
bed9898a4bf45a6b,0,1,17,1,-1,,,-1,0.0,,,-1,0.0,,,0,0,0,0,0,0,0,abstain
db219c4afef9558d,0,1,18,1,3,0.109005171517493,0.0001490208003551,-1,0.1575408014687879,-0.0485356299512949,,-1,0.1957708984312938,-0.0867657269138008,,1,1,0,0,0,0,1,positive
fa1f7200f4ff5651,0,1,16,0,-1,,,-1,0.0,,,-1,0.0,,,0,0,0,0,0,0,0,abstain
04e294754b4d56a6,0,1,7,1,22,0.3005936605354631,4.5298025821094434e-05,-1,0.4013568606825983,-0.1007632001471351,,-1,0.586299814864883,-0.2857061543294199,,1,1,0,0,0,0,1,positive
3a223e65af13545c,0,1,7,1,1,0.7360791112853133,1.6616739350611345,1,0.5888114529773949,0.1472676583079184,1.6616739350611345,-1,1.0342718559872084,-0.298192744701895,,1,1,0,0,1,0,1,positive
3e1f06aa9ff354c9,0,1,17,1,3,0.0872942507860932,0.000358076515142,3,0.0577491615335225,0.0295450892525707,0.000358076515142,-1,0.1688242564712052,-0.0815300056851119,,1,1,0,0,1,0,1,positive
3e3a2d672dfb5b51,0,1,6,1,6,0.1667612122709031,-1.987346634269027e-05,6,0.1218206342173817,0.0449405780535213,-1.987346634269027e-05,-1,0.3511885308353627,-0.1844273185644596,,1,0,0,0,1,0,1,harmful_opportunity
6110193eb32f5ad4,0,1,17,1,-1,,,-1,0.0,,,-1,0.0,,,0,0,0,0,0,0,0,abstain
6e075e93bd485b81,0,1,10,1,-1,,,-1,0.0,,,-1,0.0,,,0,0,0,0,0,0,0,abstain
6fc9e653b0ee5565,0,1,12,1,10,0.3179424258286458,-0.0001716095520647,-1,0.4603043440535436,-0.1423619182248977,,-1,0.4892692081054879,-0.171326782276842,,1,0,0,0,0,0,1,harmful_opportunity
99426aa893625f69,0,1,7,0,2,0.0617471534812086,-0.990559431026876,-1,0.26918116697811,-0.2074340134969014,,-1,0.0750867114365899,-0.0133395579553813,,1,0,1,1,0,0,1,catastrophe
9fb5b34a36925a6c,0,1,7,0,4,0.1135710824679139,-0.0037563836089917,-1,0.2975087777378103,-0.1839376952698964,,-1,0.1688371166403314,-0.0552660341724174,,1,0,0,1,0,0,1,harmful_no_opportunity
a1c1a996e52f5c4e,0,1,5,0,9,0.129147507251073,-0.0004672088905239,-1,0.3444098674737347,-0.2152623602226617,,-1,0.2869437321179671,-0.1577962248668941,,1,0,0,1,0,0,1,harmful_no_opportunity
a657d16d34c3519a,0,1,3,1,20,0.1935592380844824,1.784201655457297,20,0.0479308547756101,0.1456283833088723,1.784201655457297,-1,0.3475813727931022,-0.1540221347086198,,1,1,0,0,1,0,1,positive
a68adc1c27615ce9,0,1,13,0,-1,,,-1,0.0,,,-1,0.0,,,0,0,0,0,0,0,0,abstain
a75ce500226f5481,0,1,17,1,4,0.2603494602161748,-0.0008296889021993,4,0.2479987091228202,0.0123507510933545,-0.0008296889021993,4,0.126121274887593,0.1342281853285817,-0.0008296889021993,1,0,0,0,1,1,0,harmful_opportunity
