scenario_token,outer_test_fold,calibration_fold,candidate_count,positive_opportunity,rsm_selected_action,rsm_selected_score,rsm_selected_teacher_improvement,avr_selected_action,avr_value,dense_selected_action,dense_value,davr_selected_action,davr_value,rsm_proposal,rsm_true_positive,rsm_catastrophe,dense_accept,davr_accept,dense_false_veto_positive,dense_accept_catastrophe,davr_false_veto_positive,davr_accept_catastrophe
30e193cab0fc5a5d,0,1,9,0,-1,,,-1,,-1,,-1,,0,0,0,0,0,0,0,0,0
366e33370f605634,0,1,4,1,28,0.1768938681841109,1.2326923098775555,-1,-0.0317668932292337,28,0.1904850688958888,28,0.0922328699990588,1,1,0,1,1,0,0,0,0
3fabf2e29e5f5fc4,0,1,18,1,22,0.1364086511968436,0.0002032831884921,-1,-0.0544544914250192,22,0.0969791380535447,22,0.0224436851086382,1,1,0,1,1,0,0,0,0
46f5fac22c0b5cb0,0,1,5,0,5,0.0060178534605635,-0.0008687456113751,-1,-0.1275244722132917,-1,-0.0139948135039534,-1,-0.0603829500951215,1,0,0,0,0,0,0,0,0
518c0014d1a45ca8,0,1,13,1,12,0.2711649932888276,-0.0001304086467248,12,0.0210619061943459,12,0.038710561622988,-1,-0.0210457108813346,1,0,0,1,0,0,0,0,0
586dc46118d75100,0,1,14,1,9,0.2774287955593529,-0.0004047478932421,9,0.0245720918785728,-1,-0.0188280040061411,-1,-0.0639902552417492,1,0,0,0,0,0,0,0,0
6596827fb10b569a,0,1,23,1,1,0.0822380271686119,0.0005793339748345,-1,-0.084811284433045,1,0.0057937603225926,-1,-0.0456135293208708,1,1,0,1,0,0,0,1,0
8f79455cf8a85fb9,0,1,4,0,-1,,,-1,,-1,,-1,,0,0,0,0,0,0,0,0,0
b2f2a9a83437555c,0,1,1,0,7,0.1282250643340419,-0.0007529566446319,-1,-0.0590405093436572,-1,-0.0144863250278289,-1,-0.0607497951530393,1,0,0,0,0,0,0,0,0
d1d8fef2f07e554f,0,1,27,1,19,0.2587082015109109,-6.528710596098719e-05,19,0.0140812177431805,19,0.2180412382373967,19,0.1127997215315966,1,0,0,1,1,0,0,0,0
d3578202f06d5c62,0,1,25,1,26,0.0756410325747795,8.269424438478445e-05,-1,-0.0885081884830273,26,0.0280336791624671,-1,-0.029014520104216,1,1,0,1,0,0,0,1,0
e7ee1c000ef85255,0,1,16,1,9,0.1387198737497646,0.0005864605173468,-1,-0.0531593004263344,-1,-0.002720953584569,-1,-0.0519685801481585,1,1,0,0,0,1,0,1,0
e8a90962974f55d3,0,1,12,1,-1,,,-1,,-1,,-1,,0,0,0,0,0,0,0,0,0
f390221c855a53d1,0,1,17,1,23,0.1231167918763268,0.0001769104883706,-1,-0.0619031451801327,23,0.0800585133995113,23,0.009814789895213,1,1,0,1,1,0,0,0,0
f473bc020969511e,0,1,24,1,2,0.3726935804696051,0.002340053756078,2,0.0779577304668871,2,0.1353765686081339,2,0.0511020317627073,1,1,0,1,1,0,0,0,0
5eae283cb1b95a45,0,1,6,1,25,0.168801985923207,0.0002113920846953,-1,-0.0363015206079317,25,0.0073134818096157,-1,-0.0444792683934156,1,1,0,1,0,0,0,1,0
ea5915d23f345a29,0,1,6,1,26,0.253337737852979,-6.736000906726325e-06,26,0.0110716520136811,26,0.0631582349836443,-1,-0.0027989196784946,1,0,0,1,0,0,0,0,0
190d01845dda5596,0,1,4,0,-1,,,-1,,-1,,-1,,0,0,0,0,0,0,0,0,0
247baf6242815059,0,1,20,1,12,0.1064046111683757,-0.0004707026612013,-1,-0.0712685202254634,-1,-0.0605332271262074,-1,-0.0951174094340317,1,0,0,0,0,0,0,0,0
273d4e72b01d53cf,0,1,14,1,8,0.1059558045640616,-1.5629368781690487,-1,-0.0715200279278797,8,0.0484957237368019,-1,-0.0137424469943081,1,0,1,1,0,0,1,0,0
275e9cfb52fd59de,0,1,12,1,8,0.9052465347908496,0.1272746219409324,8,0.3763962308562724,8,0.3429943520581031,8,0.2060598589850172,1,1,0,1,1,0,0,0,0
4082f94c512b5d1f,0,1,14,1,23,0.0538410789147204,-0.0001477490439216,-1,-0.1007247116026073,-1,-0.0094783329360081,-1,-0.0570120249081216,1,0,0,0,0,0,0,0,0
421dd5398e885a27,0,1,18,1,22,0.1664662853767564,-0.0001146473528817,-1,-0.0376104288822831,22,0.0065892556913786,-1,-0.0450198025607439,1,0,0,1,0,0,0,0,0
53620555ea3a5d3c,0,1,9,1,21,0.1628050291701029,0.0,-1,-0.0396621681562632,21,0.0367038801926516,-1,-0.022543419744252,1,0,0,1,0,0,0,0,0
60bd62401d0857f9,0,1,15,1,22,0.2339518121083311,-5.674398746347009e-05,22,0.0002079312119319,22,0.0412792888251448,-1,-0.0191285129450173,1,0,0,1,0,0,0,0,0
6db53a1807af5a90,0,1,13,0,-1,,,-1,,-1,,-1,,0,0,0,0,0,0,0,0,0
8e6c888a92425ff1,0,1,6,1,1,0.1510891908982271,0.0003081311788877,-1,-0.0462276320717146,1,0.0805582614125274,1,0.0101877823478287,1,1,0,1,1,0,0,0,0
9a82cf7a1636581e,0,1,5,0,2,0.0756104859967904,-0.0042642683826388,-1,-0.0885253065458474,2,0.0698748459828704,2,0.0022140971712317,1,0,0,1,1,0,0,0,0
c70bcca6e16953d7,0,1,14,1,10,0.0393977324969763,0.0003409750871363,-1,-0.1088186496993544,10,0.0851660641975028,10,0.0136268668807814,1,1,0,1,1,0,0,0,0
d04f957744a353ba,0,1,10,1,21,0.1639535399829263,0.0001638741232454,-1,-0.0390185517010754,21,0.0720623228969148,21,0.0038467447415251,1,1,0,1,1,0,0,0,0
d0c144dfeca55025,0,1,25,1,22,0.0984392131428491,-0.0001029941059838,-1,-0.0757322668302917,22,0.0224397609052132,-1,-0.0331896028182272,1,0,0,1,0,0,0,0,0
