scenario_token,outer_test_fold,calibration_fold,candidate_count,positive_opportunity,rsm_selected_action,rsm_selected_score,rsm_selected_teacher_improvement,dense_selected_action,dense_value,hurdle_selected_action,hurdle_value,sign_shift_selected_action,sign_shift_value,sdfr_raw_selected_action,sdfr_raw_value,sdfr_main_selected_action,sdfr_main_value,selected_positive_probability,selected_positive_magnitude,selected_negative_magnitude,rsmr_outcome_class,dense_deletes_rsmr_proposal,dense_accepts_frozen_rsmr_winner,hurdle_deletes_rsmr_proposal,hurdle_accepts_frozen_rsmr_winner,sign_shift_deletes_rsmr_proposal,sign_shift_accepts_frozen_rsmr_winner,sdfr_raw_deletes_rsmr_proposal,sdfr_raw_accepts_frozen_rsmr_winner,sdfr_main_deletes_rsmr_proposal,sdfr_main_accepts_frozen_rsmr_winner
30e193cab0fc5a5d,0,1,9,0,-1,,,-1,,-1,,-1,,-1,,-1,,,,,RSMR_abstain,0,0,0,0,0,0,0,0,0,0
366e33370f605634,0,1,4,1,28,0.1768938681841109,1.2326923098775555,28,0.1904850688958888,-1,0.0,-1,0.0,-1,0.0,-1,-0.0161558578742717,0.5533300859252397,0.0,0.0,material_positive_gt_0p2,0,1,1,0,1,0,1,0,1,0
3fabf2e29e5f5fc4,0,1,18,1,22,0.1364086511968436,0.0002032831884921,22,0.0969791380535447,22,0.0066584593645526,-1,-0.0030286650539364,-1,-0.0009191941369771,-1,-0.0170750520112488,0.4495036436918864,0.1363271380280408,0.1129866505053768,near_zero_positive_le_0p01,0,1,0,1,1,0,1,0,1,0
46f5fac22c0b5cb0,0,1,5,0,5,0.0060178534605635,-0.0008687456113751,-1,-0.0139948135039534,-1,-0.0127359340031856,-1,-0.0281414850105962,-1,-0.034407568321148,-1,-0.0505634261954197,0.4133716682606565,0.200429009798387,0.1998867700809249,mild_harm,1,0,1,0,1,0,1,0,1,0
518c0014d1a45ca8,0,1,13,1,12,0.2711649932888276,-0.0001304086467248,12,0.038710561622988,12,0.0259632830189695,12,0.0096209351563354,12,0.019202796989621,12,0.0030469391153493,0.4121251571657733,0.270817922033086,0.1571900597856176,mild_harm,0,1,0,1,0,1,0,1,0,1
586dc46118d75100,0,1,14,1,9,0.2774287955593529,-0.0004047478932421,-1,-0.0188280040061411,9,0.03626670907275,9,0.0172270677873603,9,0.0308082060236133,9,0.0146523481493415,0.3920811414506662,0.3381598887307253,0.1674202201682484,mild_harm,1,0,0,1,0,1,0,1,0,1
6596827fb10b569a,0,1,23,1,1,0.0822380271686119,0.0005793339748345,1,0.0057937603225926,1,0.0820460751930125,1,0.0722173359676936,1,0.1053659359457476,1,0.0892100780714758,0.4240747363785975,0.2556939612155577,0.0053260612862363,near_zero_positive_le_0p01,0,1,0,1,0,1,0,1,0,1
8f79455cf8a85fb9,0,1,4,0,-1,,,-1,,-1,,-1,,-1,,-1,,,,,RSMR_abstain,0,0,0,0,0,0,0,0,0,0
b2f2a9a83437555c,0,1,1,0,7,0.1282250643340419,-0.0007529566446319,-1,-0.0144863250278289,-1,-0.0136992393448405,-1,-0.0373778402780139,-1,-0.044582194709682,-1,-0.0607380525839538,0.4034925936427469,0.3248629087739078,0.2944841429914918,mild_harm,1,0,1,0,1,0,1,0,1,0
d1d8fef2f07e554f,0,1,27,1,19,0.2587082015109109,-6.528710596098719e-05,19,0.2180412382373967,19,0.0437272988715578,19,0.0396289645873735,19,0.0577246089265796,19,0.0415687510523078,0.5282023920858863,0.1092850198928927,0.0,mild_harm,0,1,0,1,0,1,0,1,0,1
d3578202f06d5c62,0,1,25,1,26,0.0756410325747795,8.269424438478445e-05,26,0.0280336791624671,-1,-0.011685671495585,-1,-0.0245366629890933,-1,-0.0302195515835006,-1,-0.0463754094577724,0.434716879427641,0.1566780392546629,0.1739484805128591,near_zero_positive_le_0p01,0,1,1,0,1,0,1,0,1,0
e7ee1c000ef85255,0,1,16,1,9,0.1387198737497646,0.0005864605173468,-1,-0.002720953584569,9,0.0027476690406694,-1,-0.0149128368420753,-1,-0.0149610802924173,-1,-0.031116938166689,0.4211232501623988,0.2504148978525884,0.2080177101584513,near_zero_positive_le_0p01,1,0,0,1,1,0,1,0,1,0
e8a90962974f55d3,0,1,12,1,-1,,,-1,,-1,,-1,,-1,,-1,,,,,RSMR_abstain,0,0,0,0,0,0,0,0,0,0
