scenario_token,outer_test_fold,calibration_fold,candidate_count,positive_opportunity,rsm_selected_action,rsm_selected_score,rsm_selected_teacher_improvement,dense_selected_action,zdelta_selected_action,dnl_selected_action,epv_raw_selected_action,epv_main_selected_action,dense_value,zdelta_value,dnl_value,epv_raw_value,epv_main_value,rsmr_proposal,rsmr_y,zdelta_accepts_rsmr_winner,zdelta_deletes_rsmr_winner,dnl_accepts_rsmr_winner,dnl_deletes_rsmr_winner,epv_raw_accepts_rsmr_winner,epv_raw_deletes_rsmr_winner,epv_main_accepts_rsmr_winner,epv_main_deletes_rsmr_winner,rsmr_outcome_class
30e193cab0fc5a5d,0,1,9,0,-1,,,-1,-1,-1,-1,-1,,,,,,0,,0,0,0,0,0,0,0,0,RSMR_abstain
366e33370f605634,0,1,4,1,28,0.1768938681841109,1.2326923098775555,28,28,-1,28,28,0.1904850688958888,0.2491733319192962,-0.6411611727462626,0.0443555450052759,0.0030749428239022,1,1.2326923098775555,1,0,0,1,1,0,1,0,material_positive_gt_0p2
3fabf2e29e5f5fc4,0,1,18,1,22,0.1364086511968436,0.0002032831884921,22,22,-1,22,22,0.0969791380535447,0.0772213547398359,-0.0499753683736038,0.0616147671500899,0.0203341649687161,1,0.0002032831884921,1,0,0,1,1,0,1,0,near_zero_positive_le_0p01
46f5fac22c0b5cb0,0,1,5,0,5,0.0060178534605635,-0.0008687456113751,-1,-1,-1,-1,-1,-0.0139948135039534,-0.035954805529189,-0.053231705454058,-0.0182971244253789,-0.0595777266067526,1,-0.0008687456113751,0,1,0,1,0,1,0,1,mild_harm
518c0014d1a45ca8,0,1,13,1,12,0.2711649932888276,-0.0001304086467248,12,12,12,-1,-1,0.038710561622988,0.0195168735680914,0.0132137278611165,-0.0001283030146716,-0.0414089051960453,1,-0.0001304086467248,1,0,1,0,0,1,0,1,mild_harm
586dc46118d75100,0,1,14,1,9,0.2774287955593529,-0.0004047478932421,-1,-1,-1,-1,-1,-0.0188280040061411,-0.0414196622024126,-0.0087486550959829,-0.0666306620859454,-0.1079112642673192,1,-0.0004047478932421,0,1,0,1,0,1,0,1,mild_harm
6596827fb10b569a,0,1,23,1,1,0.0822380271686119,0.0005793339748345,1,-1,1,1,1,0.0057937603225926,-0.0412932214082108,0.0774850780706879,0.085506374841875,0.0442257726605013,1,0.0005793339748345,0,1,1,0,1,0,1,0,near_zero_positive_le_0p01
8f79455cf8a85fb9,0,1,4,0,-1,,,-1,-1,-1,-1,-1,,,,,,0,,0,0,0,0,0,0,0,0,RSMR_abstain
b2f2a9a83437555c,0,1,1,0,7,0.1282250643340419,-0.0007529566446319,-1,-1,7,-1,-1,-0.0144863250278289,-0.0348431522758511,0.0411693783275214,-0.128635627553017,-0.1699162297343908,1,-0.0007529566446319,0,1,1,0,0,1,0,1,mild_harm
d1d8fef2f07e554f,0,1,27,1,19,0.2587082015109109,-6.528710596098719e-05,19,19,19,19,19,0.2180412382373967,0.158442037736839,0.0204904196001043,0.0999115190953878,0.058630916914014,1,-6.528710596098719e-05,1,0,1,0,1,0,1,0,mild_harm
d3578202f06d5c62,0,1,25,1,26,0.0756410325747795,8.269424438478445e-05,26,26,-1,26,-1,0.0280336791624671,0.0079563408679706,-0.0652436420946317,0.0283105646459043,-0.0129700375354694,1,8.269424438478445e-05,1,0,0,1,1,0,0,1,near_zero_positive_le_0p01
e7ee1c000ef85255,0,1,16,1,9,0.1387198737497646,0.0005864605173468,-1,-1,-1,-1,-1,-0.002720953584569,-0.0236056120981003,-0.0187281265395763,-0.1010380158235394,-0.1423186180049131,1,0.0005864605173468,0,1,0,1,0,1,0,1,near_zero_positive_le_0p01
e8a90962974f55d3,0,1,12,1,-1,,,-1,-1,-1,-1,-1,,,,,,0,,0,0,0,0,0,0,0,0,RSMR_abstain
f390221c855a53d1,0,1,17,1,23,0.1231167918763268,0.0001769104883706,23,23,-1,23,23,0.0800585133995113,0.0600734979842348,-0.0485582307625279,0.054346768826714,0.0130661666453403,1,0.0001769104883706,1,0,0,1,1,0,1,0,near_zero_positive_le_0p01
f473bc020969511e,0,1,24,1,2,0.3726935804696051,0.002340053756078,2,2,2,2,2,0.1353765686081339,0.0885977959676529,0.073852648869266,0.06081210384837,0.0195315016669963,1,0.002340053756078,1,0,1,0,1,0,1,0,near_zero_positive_le_0p01
5eae283cb1b95a45,0,1,6,1,25,0.168801985923207,0.0002113920846953,25,-1,25,25,-1,0.0073134818096157,-0.0135014652429323,0.0443760894518076,0.0074387229341724,-0.0338418792472013,1,0.0002113920846953,0,1,1,0,1,0,0,1,near_zero_positive_le_0p01
ea5915d23f345a29,0,1,6,1,26,0.253337737852979,-6.736000906726325e-06,26,26,26,-1,-1,0.0631582349836443,0.04334922690685,0.0256604923604723,-0.0093394586648693,-0.050620060846243,1,-6.736000906726325e-06,1,0,1,0,0,1,0,1,mild_harm
190d01845dda5596,0,1,4,0,-1,,,-1,-1,-1,-1,-1,,,,,,0,,0,0,0,0,0,0,0,0,RSMR_abstain
247baf6242815059,0,1,20,1,12,0.1064046111683757,-0.0004707026612013,-1,-1,12,12,-1,-0.0605332271262074,-0.0782910294570429,0.0565610350180696,0.0089594814979398,-0.0323211206834338,1,-0.0004707026612013,0,1,1,0,1,0,0,1,mild_harm
273d4e72b01d53cf,0,1,14,1,8,0.1059558045640616,-1.5629368781690487,8,8,-1,8,-1,0.0484957237368019,0.0306571144289398,-0.0993114484083778,0.0102364925559853,-0.0310441096253884,1,-1.5629368781690487,1,0,0,1,1,0,0,1,catastrophe
275e9cfb52fd59de,0,1,12,1,8,0.9052465347908496,0.1272746219409324,8,8,-1,8,8,0.3429943520581031,0.3734849409245088,-0.1820435997820748,0.4570160666764277,0.4157354644950539,1,0.1272746219409324,1,0,0,1,1,0,1,0,small_positive_0p01_to_0p2
4082f94c512b5d1f,0,1,14,1,23,0.0538410789147204,-0.0001477490439216,-1,-1,23,23,23,-0.0094783329360081,-0.021621800231357,0.1149131999804942,0.0663593032008506,0.0250787010194769,1,-0.0001477490439216,0,1,1,0,1,0,1,0,mild_harm
421dd5398e885a27,0,1,18,1,22,0.1664662853767564,-0.0001146473528817,22,-1,22,-1,-1,0.0065892556913786,-0.0117616177110772,0.0309129068979895,-0.0348168998283497,-0.0760975020097235,1,-0.0001146473528817,0,1,1,0,0,1,0,1,mild_harm
