scenario_token,outer_test_fold,calibration_fold,candidate_count,positive_opportunity,rsm_selected_action,rsm_selected_teacher_improvement,quality_selected_action,v43_future_mean_selected_action,v43_future_robust_selected_action,pc_response_mean_selected_action,pc_occupancy_mean_selected_action,pc_occupancy_robust_selected_action,pcor_main_selected_action,quality_value,v43_future_mean_value,v43_future_robust_value,pc_response_mean_value,pc_occupancy_mean_value,pc_occupancy_robust_value,pcor_main_value,rsm_has_proposal,teacher_bucket,quality_accept,v43_future_mean_accept,v43_future_robust_accept,pc_response_mean_accept,pc_occupancy_mean_accept,pc_occupancy_robust_accept,pcor_main_accept,rsm_occ_delta_cv,rsm_occ_delta_ca,rsm_occ_delta_brake,rsm_occ_delta_yield,rsm_occ_delta_nonyield
30e193cab0fc5a5d,0,1,9,0,-1,,-1,-1,-1,-1,-1,-1,-1,,,,,,,,False,no_rsm_proposal,False,False,False,False,False,False,False,,,,,
366e33370f605634,0,1,4,1,28,1.2326923098775555,28,28,28,28,28,28,28,0.0476998898569074,0.0476998898569074,0.0476998898569074,0.0476998898569074,0.0447458410898393,0.0922720563693675,0.0494063377609349,True,material_positive,True,True,True,True,True,True,True,-0.015264138579368591,0.04217304289340973,-5.497783422470093e-05,-0.007664725184440613,-0.00978473573923111
3fabf2e29e5f5fc4,0,1,18,1,22,0.0002032831884921,22,-1,-1,-1,-1,-1,-1,0.0786619415056863,-0.5219291429885932,-0.3457719791572562,-0.5415137958609895,-0.5676311173847942,-0.5779479355854252,-0.6208136541938578,True,nearzero_positive,True,False,False,False,False,False,False,-0.07855969667434692,-0.07855969667434692,-0.07855969667434692,-0.07855969667434692,-0.07855969667434692
46f5fac22c0b5cb0,0,1,5,0,5,-0.0008687456113751,-1,-1,-1,-1,5,5,-1,-0.0327328577848128,-0.0327328577848128,-0.0327328577848128,-0.0327328577848128,0.0194664845893114,0.0163032641810228,-0.0265624544274096,True,mild_harm,False,False,False,False,True,True,False,0.005149662494659424,0.008839502930641174,-0.002335876226425171,0.008986517786979675,0.008689627051353455
518c0014d1a45ca8,0,1,13,1,12,-0.0001304086467248,-1,-1,-1,-1,12,12,12,-0.0016346915660951,-0.0016346915660951,-0.0016346915660951,-0.0016346915660951,0.0921748871783523,0.0936723755949009,0.0508066569864684,True,mild_harm,False,False,False,False,True,True,True,0.011402957141399384,0.011402957141399384,0.011402957141399384,0.011402957141399384,0.011402957141399384
586dc46118d75100,0,1,14,1,9,-0.0004047478932421,-1,-1,-1,-1,-1,-1,-1,-0.0725225249756469,-0.0725225249756469,-0.0725225249756469,-0.0725225249756469,-0.8159277586686262,-0.8277947848418215,-0.8706605034502539,True,mild_harm,False,False,False,False,False,False,False,-0.09036409854888916,-0.09036409854888916,-0.09036409854888916,-0.09036409854888916,-0.09036409854888916
6596827fb10b569a,0,1,23,1,1,0.0005793339748345,1,-1,-1,-1,1,1,1,0.0956620741837085,-0.0452477568465265,-0.0039180121482008,-0.0498426804114657,0.6908520179295605,0.6617587702592781,0.6188930516508455,True,nearzero_positive,True,False,False,False,True,True,True,0.07451964914798737,0.060803912580013275,0.07451964914798737,0.07451964914798737,0.07451964914798737
8f79455cf8a85fb9,0,1,4,0,-1,,-1,-1,-1,-1,-1,-1,-1,,,,,,,,False,no_rsm_proposal,False,False,False,False,False,False,False,,,,,
b2f2a9a83437555c,0,1,1,0,7,-0.0007529566446319,-1,-1,-1,-1,-1,-1,-1,-0.1404873922864834,-0.267869597706372,-0.3242632136317219,-0.2530736998564836,-0.2260480985673454,-0.2385178608143851,-0.2813835794228176,True,mild_harm,False,False,False,False,False,False,False,-0.014192372560501099,-0.013513624668121338,-0.012139663100242615,-0.008517339825630188,-0.013721585273742676
d1d8fef2f07e554f,0,1,27,1,19,-6.528710596098719e-05,19,19,19,19,19,19,19,0.0916974094375467,0.0916974094375467,0.0916974094375467,0.0916974094375467,0.3030658750427639,0.3707471971395085,0.327881478531076,True,mild_harm,True,True,True,True,True,True,True,0.004987277090549469,0.0044218674302101135,0.04282112419605255,0.044927746057510376,0.0034526661038398743
