scenario_token,outer_test_fold,calibration_fold,candidate_count,positive_opportunity,rsm_selected_action,rsm_selected_teacher_improvement,quality_selected_action,plan_control_selected_action,dist_mean_selected_action,temporal_profile_selected_action,dirp_joint_selected_action,quality_value,plan_control_value,dist_mean_value,temporal_profile_value,dirp_joint_value,cv_occ_selected_action,local_rf_selected_action,plan_rf_selected_action,cv_occ_value,local_rf_value,plan_rf_value,pc_occupancy_robust_selected_action,pc_occupancy_robust_value,rsm_occ_delta_cv,rsm_occ_delta_ca,rsm_occ_delta_brake,rsm_occ_delta_yield,rsm_occ_delta_nonyield,risk_delta_l1,delta_hard_agent_risk,delta_soft_agent_risk,delta_agent_ttc_risk,delta_hard_off_route_risk,delta_soft_off_route_risk,delta_red_light_risk,teacher_bucket,quality_accept,cv_occ_accept,local_rf_accept,plan_rf_accept,v44_robust_accept,current_risk_all_zero,cv_to_local_local_only,cv_to_local_cv_only,local_to_plan_plan_only,local_to_plan_local_only,v44robust_to_plan_plan_only,v44robust_to_plan_v44_only,teacher_bucket_v46,plan_control_accept,dist_mean_accept,temporal_profile_accept,dirp_joint_accept,plan_to_dist_mean_dist_mean_only,plan_to_dist_mean_plan_only,plan_to_temporal_profile_temporal_profile_only,plan_to_temporal_profile_plan_only,plan_to_dirp_joint_dirp_joint_only,plan_to_dirp_joint_plan_only,plan_control_material_miss,dist_mean_material_miss,temporal_profile_material_miss,dirp_joint_material_miss
30e193cab0fc5a5d,0,1,9,0,-1,,-1,-1,-1,-1,-1,,,,,,-1,-1,-1,,,,-1,,,,,,,,,,,,,,no_rsm_proposal,False,False,False,False,False,False,False,False,False,False,False,False,no_rsm_proposal,False,False,False,False,False,False,False,False,False,False,False,False,False,False
366e33370f605634,0,1,4,1,28,1.2326923098775555,28,-1,-1,28,28,0.0476998898569074,-0.0748706271511749,-0.0425822332417577,0.101043951391123,0.1015873342003761,-1,-1,-1,-0.0615206004062308,-0.0549355042143866,-0.0748706271511749,28,0.0922720563693675,-0.0152641385793685,0.0421730428934097,-5.497783422470093e-05,-0.0076647251844406,-0.0097847357392311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,material_positive_gt_0.2,True,False,False,False,True,True,False,False,False,False,False,True,material_positive_gt_0p2,False,False,True,True,False,False,True,False,True,False,True,True,False,False
3fabf2e29e5f5fc4,0,1,18,1,22,0.0002032831884921,22,22,22,22,-1,0.0786619415056863,0.1303018860463606,0.0840168613622683,0.058411553678712,-0.0500871115688927,-1,22,22,-0.4834611170427643,0.2010296127659977,0.1303018860463606,-1,-0.5779479355854252,-0.0785596966743469,-0.0785596966743469,-0.0785596966743469,-0.0785596966743469,-0.0785596966743469,0.4187135994434356,0.0,-0.0384936928749084,-0.3802199065685272,0.0,0.0,0.0,positive_le_0.001,True,False,True,True,False,False,True,False,False,False,True,False,positive_le_0p001,True,True,True,False,False,False,False,False,False,True,False,False,False,False
46f5fac22c0b5cb0,0,1,5,0,5,-0.0008687456113751,-1,5,5,-1,-1,-0.0327328577848128,0.0612651547242296,0.0550079345938391,-0.0295515731217063,-0.0221830174237529,5,5,5,0.004114852225749,0.0473643676432105,0.0612651547242296,5,0.0163032641810228,0.0051496624946594,0.0088395029306411,-0.0023358762264251,0.0089865177869796,0.0086896270513534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mild_harm,False,True,True,True,True,True,False,False,False,False,False,False,mild_harm,True,True,False,False,False,False,False,True,False,True,False,False,False,False
518c0014d1a45ca8,0,1,13,1,12,-0.0001304086467248,-1,12,12,-1,12,-0.0016346915660951,0.1334629953064226,0.0809814068835622,-0.0099815310003782,0.0170348118494805,12,12,12,0.0799576068794733,0.1348332465760512,0.1334629953064226,12,0.0936723755949009,0.0114029571413993,0.0114029571413993,0.0114029571413993,0.0114029571413993,0.0114029571413993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mild_harm,False,True,True,True,True,True,False,False,False,False,False,False,mild_harm,True,True,False,True,False,False,False,True,False,False,False,False,False,False
586dc46118d75100,0,1,14,1,9,-0.0004047478932421,-1,-1,-1,-1,-1,-0.0725225249756469,-0.4322105728406123,-0.490972973092646,-0.0369496062209076,-0.0630593356800808,-1,-1,-1,-0.7191104280167449,-0.4198070722934271,-0.4322105728406123,-1,-0.8277947848418215,-0.0903640985488891,-0.0903640985488891,-0.0903640985488891,-0.0903640985488891,-0.0903640985488891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mild_harm,False,False,False,False,False,True,False,False,False,False,False,False,mild_harm,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6596827fb10b569a,0,1,23,1,1,0.0005793339748345,1,1,1,-1,-1,0.0956620741837085,0.4544355735156032,0.5266663595334306,-0.2461428765845289,-0.2552019449762097,1,1,1,0.6288771705422525,0.4167979458731066,0.4544355735156032,1,0.6617587702592781,0.0745196491479873,0.0608039125800132,0.0745196491479873,0.0745196491479873,0.0745196491479873,0.0915055274963378,0.0,0.0,-0.0915055274963378,0.0,0.0,0.0,positive_le_0.001,True,True,True,True,True,False,False,False,False,False,False,False,positive_le_0p001,True,True,False,False,False,False,False,True,False,True,False,False,False,False
8f79455cf8a85fb9,0,1,4,0,-1,,-1,-1,-1,-1,-1,,,,,,-1,-1,-1,,,,-1,,,,,,,,,,,,,,no_rsm_proposal,False,False,False,False,False,False,False,False,False,False,False,False,no_rsm_proposal,False,False,False,False,False,False,False,False,False,False,False,False,False,False
b2f2a9a83437555c,0,1,1,0,7,-0.0007529566446319,-1,-1,-1,-1,-1,-0.1404873922864834,-0.2080471256586284,-0.2181025848209269,-0.1182065138996787,-0.1236066913293955,-1,-1,-1,-0.2420390527031441,-0.1992850931893192,-0.2080471256586284,-1,-0.2385178608143851,-0.014192372560501,-0.0135136246681213,-0.0121396631002426,-0.0085173398256301,-0.0137215852737426,0.1631414890289306,0.0,-0.1416720747947693,-0.0214694142341613,0.0,0.0,0.0,mild_harm,False,False,False,False,False,False,False,False,False,False,False,False,mild_harm,False,False,False,False,False,False,False,False,False,False,False,False,False,False
d1d8fef2f07e554f,0,1,27,1,19,-6.528710596098719e-05,19,19,19,19,19,0.0916974094375467,0.300943414675107,0.332134211775829,0.0210254971919438,0.035579128991967,19,19,19,0.1273831601107505,0.2773666228049667,0.300943414675107,19,0.3707471971395085,0.0049872770905494,0.0044218674302101,0.0428211241960525,0.0449277460575103,0.0034526661038398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mild_harm,True,True,True,True,True,True,False,False,False,False,False,False,mild_harm,True,True,True,True,False,False,False,False,False,False,False,False,False,False
