split,scenario_token,teacher_improvement,material_positive,catastrophe,K,proposal_action,rsmr_accept,rsmr_post_value,quality_accept,quality_post_value,plan_control_accept,plan_control_post_value,ego_ref_accept,ego_ref_post_value,sign_nomult_accept,sign_nomult_post_value,sign_mult_accept,sign_mult_post_value,mult_minus_nomult_accept
A,03e15039cc7450ee,0.00033820190047845243,0,0,30,11,1,0.0,0,-0.03820613433708772,0,-0.049540706849123886,1,0.049331192132702845,1,1.2044812014277264,1,1.545750218540019,0
A,07f99c7d4b765fe6,0.0,0,0,13,18,1,0.0,0,-0.09771166926527419,0,-0.09771166926527419,0,-0.09771166926527419,1,0.18449899429117056,1,0.33334771616888026,0
A,090e6c14322e5500,-0.000515383537376124,0,0,28,20,1,0.0,1,0.051394161865672514,1,0.046843722439947416,1,0.10266048572738623,1,1.0667532313238675,1,1.348773675477338,0
A,0da6f095659b56d0,0.0006011936448513389,0,0,27,19,1,0.0,1,0.1005121956380042,1,0.10844190530419645,1,0.08816929444069169,1,0.5382722947494277,1,0.4948706880131385,0
A,12275f7d4b7054e9,-0.940517462410175,0,1,26,6,1,0.0,0,-0.1072339195842285,0,-0.7113656853222535,0,-0.7367112586319987,0,-1.332482243735811,0,-0.9300986800566267,0
A,144ec112052b575b,-3.538523167371751e-05,0,0,25,2,1,0.0,1,0.0765782460612682,1,0.07657212142298764,1,0.07791186635107031,1,0.6530435184703858,1,1.1508158990846844,0
A,172e20372ab95e64,1.7130494302545693e-05,0,0,24,19,1,0.0,0,-0.0346377327996253,0,-0.6162543360182782,0,-0.6005206230818821,0,-0.7263236999017195,0,-0.5688548109122642,0
A,178409cfbf9e5ea6,0.0,0,0,3,21,1,0.0,0,-0.11902274845621852,0,-0.11902274845621852,0,-0.11902274845621852,1,0.12867775126212477,0,-0.7722151611484056,-1
A,1af8e70411175b4d,0.002869263768958241,0,0,29,18,1,0.0,1,0.08417485169190272,1,0.09782686877415593,1,0.18355065908866186,1,1.4592709960169343,1,1.8076313079838608,0
A,1bc2bf89d3ac5189,-0.00012676702125463636,0,0,24,21,1,0.0,0,-0.14195966035441704,0,-0.3190913812235209,0,-0.3234569043059924,0,-0.3413386510338716,0,-0.6006412089969146,0
A,1e7f58264823546f,-0.0005511435244232032,0,0,12,23,1,0.0,0,-0.039408300123516926,1,0.1862097044548445,1,0.19510829465250212,1,0.8893396504228396,1,0.5195217195319446,0
A,201d567d2bab5e66,0.0,0,0,29,17,1,0.0,1,0.0027203209935534826,1,0.0027203209935534826,1,0.0027203209935534826,1,0.4475658472598847,1,1.000855826678592,0
A,204726270e2a5f07,-0.006995789305120681,0,0,16,2,1,0.0,0,-0.05451331371750394,0,-0.03276459388772278,0,-0.07484302124593974,0,-0.03468072808123668,1,0.10851772419799299,1
