scenario_token,outer_test_fold,candidate_count,full_selected_action,intervention_prefix_size,intervention_selected_action,intervention_selected_rank_by_rsmr_score,full_selected_rank_by_rsmr_score,switched_from_full_winner,full_winner_deleted_by_prefix,intervention_y,full_y,intervention_rsmr_score,intervention_quality_value,intervention_plan_control_value,intervention_ego_ref_value
00bf712a8e9e59bf,0,1,-1,-1,-1,-1,-1,0,0,,,,,,
00d83b17d1755be3,1,7,-1,-1,-1,-1,-1,0,0,,,,,,
00f4aedf9b3c5f65,4,16,21,-1,-1,-1,1,0,1,,3.5336512327194085e-05,,,,
023f35fd45755497,4,11,-1,-1,-1,-1,-1,0,0,,,,,,
02bb7e4c3012543c,2,8,-1,-1,-1,-1,-1,0,0,,,,,,
02fca515559f520d,1,11,0,9,0,1,1,0,0,-5.0871647178318824e-05,-5.0871647178318824e-05,0.1076566095881033,-0.0846660008741357,-0.08813299781984081,-0.057105962724395165
034da27cd2f75292,3,1,5,1,5,1,1,0,0,-0.004144081055757143,-0.004144081055757143,0.30464061493402605,0.1480630470221737,0.18077613538537998,0.1651909112701809
0395a156348a5041,3,8,24,-1,-1,-1,1,0,1,,-0.00039037971599031884,,,,
03a7c978d0165fa2,4,20,-1,-1,-1,-1,-1,0,0,,,,,,
03dac455f9ec5792,0,18,23,9,23,1,1,0,0,-0.0001943112442734929,-0.0001943112442734929,0.24602580167745342,-0.0403824420345861,-0.08583527991494266,-0.059681511847965364
045cd7a008c65925,0,17,9,-1,-1,-1,1,0,1,,0.00042712006894873866,,,,
046577552dd15fc3,0,15,-1,-1,-1,-1,-1,0,0,,,,,,
04e294754b4d56a6,0,7,22,1,22,1,1,0,0,4.5298025821094434e-05,4.5298025821094434e-05,0.3005936605354631,0.072460694021912,-0.001236452859557452,0.024605349068033598
050392bdc27a5f5c,3,1,-1,-1,-1,-1,-1,0,0,,,,,,
052f0d46a5c059a1,4,12,0,11,0,1,1,0,0,0.0031051245564599483,0.0031051245564599483,0.4183251706955458,0.12387955085293391,0.04178367239281498,0.0993059826479597
054033a129155c88,3,9,1,-1,-1,-1,1,0,1,,3.994131535741196,,,,
05ba4ac2db9c50d2,0,11,25,1,22,3,1,1,0,-0.9893820163086129,-0.9894486065524201,0.11531747803363929,0.07133470345990307,0.09951218910521495,0.1270956698238411
0612f5d26b32561d,2,15,-1,-1,-1,-1,-1,0,0,,,,,,
0624fd97bb1d5859,0,23,22,12,1,2,1,1,0,0.0001238135528751627,0.0001875565206632679,0.2582898930344826,0.04890556826496418,0.20794693883571966,0.3418232092628247
06a937676ff65c69,1,17,9,-1,-1,-1,1,0,1,,-0.0008672325992258312,,,,
06f2c0171372558e,1,14,9,3,9,1,1,0,0,-0.00021924246586857432,-0.00021924246586857432,0.17881654255546772,-0.1318771233286076,-0.4599895177924729,-0.3991278620163533
06f8d2f6dca3537c,2,6,-1,-1,-1,-1,-1,0,0,,,,,,
07003d3990e35817,2,2,-1,-1,-1,-1,-1,0,0,,,,,,
073ef4e9c6185fdd,3,2,-1,-1,-1,-1,-1,0,0,,,,,,
07704203d30b5747,4,1,-1,-1,-1,-1,-1,0,0,,,,,,
07db46e8eac253cf,0,12,16,10,16,1,1,0,0,0.7593208522055517,0.7593208522055517,0.2530217512025169,0.2687226301796579,0.36906091135465713,0.39400373347965334
07f7850e943e5787,1,17,9,-1,-1,-1,1,0,1,,-0.0003208969734609102,,,,
07f8bf05fc975975,4,1,1,1,1,1,1,0,0,-7.274440014737316e-05,-7.274440014737316e-05,0.08483501942525248,-0.060331290639262916,-0.005445760341799569,-0.001631948606454485
0831e7eae1365d56,3,5,9,5,9,1,1,0,0,-0.00045407741218805257,-0.00045407741218805257,0.04540302051902846,-0.034164652453523056,-0.17342429108856805,-0.12078738971819242
091cae980d54535d,2,17,20,-1,-1,-1,1,0,1,,-0.00011106623769737822,,,,
0938c742dd0159e8,2,4,-1,-1,-1,-1,-1,0,0,,,,,,
0966d80519ed5508,0,11,-1,-1,-1,-1,-1,0,0,,,,,,
097a309009705384,2,9,3,5,3,1,1,0,0,0.00048242681920529495,0.00048242681920529495,0.09458799868532625,0.10425942810473209,0.10059023043480947,0.05466988842616006
09884abf58435aaa,3,17,9,11,9,1,1,0,0,-0.000667075268552253,-0.000667075268552253,0.06621855061983017,-0.022732861359669364,-0.06511775088986752,-0.012702891375380861
09be490c13cb56b6,3,19,23,-1,-1,-1,1,0,1,,-8.767266422510158e-05,,,,
0aea8543e71b5712,2,15,22,8,22,1,1,0,0,0.0,0.0,0.10138480301401134,-0.043597822913064174,-0.043597822913064174,-0.043597822913064174
0af516a5b2725ac6,4,12,23,1,23,1,1,0,0,-0.00016150210924070763,-0.00016150210924070763,0.07094069994466955,-0.11027025063415331,-0.20713486797092348,-0.209954547012104
0bb64f8f31ba5310,2,17,-1,-1,-1,-1,-1,0,0,,,,,,
0bd45dc9e3a759c2,1,17,17,-1,-1,-1,1,0,1,,0.00010564825385808935,,,,
0be5fd7a2dbb5d87,4,14,-1,-1,-1,-1,-1,0,0,,,,,,
0c77a4182a655cf9,0,3,-1,-1,-1,-1,-1,0,0,,,,,,
0d399eab6caf5d71,0,1,-1,-1,-1,-1,-1,0,0,,,,,,
0d99f7ef1331585c,3,2,-1,-1,-1,-1,-1,0,0,,,,,,
0dd2b9715fc65e18,4,14,10,5,10,1,1,0,0,-9.228003919126149e-05,-9.228003919126149e-05,0.14221009536783705,0.02782724616932233,-0.019761638653413644,-0.015294139027343886
0e59b30dfd9d5121,2,19,21,16,21,1,1,0,0,0.00026765271043404943,0.00026765271043404943,0.024220297686227785,-0.017847342872586276,0.24126920354720677,0.21081947018960395
0e7c79855e005220,1,17,3,14,3,1,1,0,0,0.9896743082495081,0.9896743082495081,0.15675871998502952,-0.01886291795740282,-0.10624984656341604,-0.0661055413047129
0f6992119fc759c4,3,4,9,1,9,1,1,0,0,0.9896811794601963,0.9896811794601963,0.0660328831046773,-0.20594169276408886,-0.20172390762659043,-0.148943968112296
0f9ba65f3e2e5c1d,2,2,25,2,25,1,1,0,0,-0.00012799810242603016,-0.00012799810242603016,0.1375998380641172,-0.04268369593584168,-0.030062490243157002,-0.03410827288906544
0fb7d56584065e6f,4,27,21,15,0,2,1,1,0,0.0018912600628322451,0.0021822822965567035,0.3140030792549268,-0.01766885432535717,0.053067846177623806,0.1384438713764412
0fd565e4e40058b8,2,15,-1,-1,-1,-1,-1,0,0,,,,,,
0fdd878a393d502e,4,2,-1,-1,-1,-1,-1,0,0,,,,,,
102e8bfe5f555974,4,19,22,-1,-1,-1,1,0,1,,-2.479011844847001e-05,,,,
103c7d249ab154af,4,17,9,8,9,1,1,0,0,0.9936651484772563,0.9936651484772563,0.16770787690766137,0.07633661125369162,0.04967249851462012,0.07932218073286612
105b657c237a5c20,2,11,-1,-1,-1,-1,-1,0,0,,,,,,
1088d47284565808,3,5,-1,-1,-1,-1,-1,0,0,,,,,,
10e0d0cf52855491,3,9,20,3,20,1,1,0,0,-4.381986407098193e-05,-4.381986407098193e-05,0.4207007276874806,0.013451048370112656,-0.056041522525517196,-0.05530490956912705
1139bbb1cfe35d48,1,2,1,1,1,1,1,0,0,0.0015995440794149829,0.0015995440794149829,0.20455984023549117,-0.08142297771084278,0.48723182875882914,0.5663272850793994
114a8e53ec3c5e0d,1,3,-1,-1,-1,-1,-1,0,0,,,,,,
11579a9c240a5c77,4,17,-1,-1,-1,-1,-1,0,0,,,,,,
115efd50328f5ecc,1,18,-1,-1,-1,-1,-1,0,0,,,,,,
