scenario_token,outer_test_fold,calibration_fold,candidate_count,positive_opportunity,rsm_selected_action,rsm_selected_teacher_improvement,ego_ref_value,v49_obs_sign_risk,v49_siir_risk,v49_obs_sign_threshold,v49_siir_threshold,v49_obs_sign_selected_action,v49_siir_selected_action,v49_heldout_intervention_selected_action,v49_heldout_intervention_teacher_improvement,v49_heldout_intervention_prefix_size,obs_vs_siir_partition_on_rsmr_population,siir_minus_obs_risk
00bf712a8e9e59bf,0,1,1,0,-1,,,,,1.524954491750987,1.4501708136749782,-1,-1,-1,,-1,no_rsmr_proposal,
03dac455f9ec5792,0,1,18,1,23,-0.0001943112442734,-0.0596815118479653,0.4744859761521784,0.4703725786692689,1.524954491750987,1.4501708136749782,23,23,-1,,-1,both,-0.004113397482909509
045cd7a008c65925,0,1,17,1,9,0.0004271200689487,0.103384426883565,-0.7780198074865832,-0.5515230777134119,1.524954491750987,1.4501708136749782,9,9,-1,,-1,both,0.22649672977317126
046577552dd15fc3,0,1,15,1,-1,,,,,1.524954491750987,1.4501708136749782,-1,-1,-1,,-1,no_rsmr_proposal,
04e294754b4d56a6,0,1,7,1,22,4.5298025821094434e-05,0.0246053490680335,0.3590188848506036,0.427513615974236,1.524954491750987,1.4501708136749782,22,22,23,4.5298025821094434e-05,4,both,0.06849473112363236
05ba4ac2db9c50d2,0,1,11,1,25,-0.98944860655242,0.1569182141965333,-0.5125733835073937,-0.4176732754437956,1.524954491750987,1.4501708136749782,25,25,22,-0.9893820163086128,7,both,0.09490010806359805
0624fd97bb1d5859,0,1,23,1,22,0.0001875565206632,0.2473697345539249,-0.9535725603492766,-0.7384181370863545,1.524954491750987,1.4501708136749782,22,22,22,0.0001875565206632,8,both,0.2151544232629221
07db46e8eac253cf,0,1,12,1,16,0.7593208522055517,0.3940037334796533,-0.3956631576136028,-0.3796557502027405,1.524954491750987,1.4501708136749782,16,16,16,0.7593208522055517,4,both,0.016007407410862318
0966d80519ed5508,0,1,11,1,-1,,,,,1.524954491750987,1.4501708136749782,-1,-1,-1,,-1,no_rsmr_proposal,
0c77a4182a655cf9,0,1,3,1,-1,,,,,1.524954491750987,1.4501708136749782,-1,-1,-1,,-1,no_rsmr_proposal,
0d399eab6caf5d71,0,1,1,0,-1,,,,,1.524954491750987,1.4501708136749782,-1,-1,-1,,-1,no_rsmr_proposal,
1289017760ab5cda,0,1,22,1,23,-0.0001021183120086,0.0447327854011879,0.0181710868125112,0.0128517354012039,1.524954491750987,1.4501708136749782,23,23,23,-0.0001021183120086,11,both,-0.005319351411307301
13adf1483845581c,0,1,18,1,21,0.0006412762776015,-0.1406031313364137,1.3999041828488472,1.294189025375342,1.524954491750987,1.4501708136749782,21,21,-1,,-1,both,-0.10571515747350513
1470dbcb0c415442,0,1,9,1,9,0.0005928187692534,0.4509409107436432,-1.1311619220687217,-1.5424398304950644,1.524954491750987,1.4501708136749782,9,9,9,0.0005928187692534,9,both,-0.4112779084263427
15210c5280b851a8,0,1,18,1,24,1.220051444119215,0.1830190012911381,0.1774033348073497,-0.0809653078394758,1.524954491750987,1.4501708136749782,24,24,24,1.220051444119215,18,both,-0.2583686426468255
154c14f381535c43,0,1,1,1,24,7.987478524418279e-05,0.0843347887271666,0.4639009129074843,0.2909445425441883,1.524954491750987,1.4501708136749782,24,24,24,7.987478524418279e-05,1,both,-0.17295637036329603
16599b5179df53bb,0,1,7,0,-1,,,,,1.524954491750987,1.4501708136749782,-1,-1,-1,,-1,no_rsmr_proposal,
181f26554b4b5e75,0,1,15,0,9,-0.0001236836064255,-0.0405464133038553,0.0463517604153183,0.146774378108922,1.524954491750987,1.4501708136749782,9,9,9,-0.0001236836064255,14,both,0.1004226176936037
190d01845dda5596,0,1,4,0,-1,,,,,1.524954491750987,1.4501708136749782,-1,-1,-1,,-1,no_rsmr_proposal,
1f8c9456286d59fb,0,1,17,0,9,-0.0006121215932071,0.2403278978070719,-0.5652107123724376,-0.8030141921401976,1.524954491750987,1.4501708136749782,9,9,-1,,-1,both,-0.23780347976776006
208da297c61b5a6b,0,1,14,0,9,-0.0002173149178734,-0.4549637590545892,1.100067269618521,1.4941548358986598,1.524954491750987,1.4501708136749782,9,-1,9,-0.0002173149178734,6,obs_only,0.39408756628013886
20cd0f5250875606,0,1,5,0,9,-0.0003515167922247,0.1745739486607909,-0.393129589434146,-0.5517560868654388,1.524954491750987,1.4501708136749782,9,9,-1,,-1,both,-0.15862649743129276
21411e892e975adf,0,1,3,0,-1,,,,,1.524954491750987,1.4501708136749782,-1,-1,-1,,-1,no_rsmr_proposal,
222f2b699516591c,0,1,14,1,-1,,,,,1.524954491750987,1.4501708136749782,-1,-1,-1,,-1,no_rsmr_proposal,
247baf6242815059,0,1,20,1,12,-0.0004707026612013,0.0746786248081144,-0.5011422392780467,-0.2886836110024134,1.524954491750987,1.4501708136749782,12,12,25,-0.0004944504729937,1,both,0.21245862827563328
249837af09305794,0,1,2,0,-1,,,,,1.524954491750987,1.4501708136749782,-1,-1,-1,,-1,no_rsmr_proposal,
24f940b7a94f5ed7,0,1,17,0,3,-0.0003130765174522,0.0488294196975815,1.2033781311764449,0.9310859521916854,1.524954491750987,1.4501708136749782,3,3,-1,,-1,both,-0.27229217898475944
257140a662885e1d,0,1,7,1,3,0.000522074045008,0.1525239324252152,0.7744856625362236,0.4377811382066176,1.524954491750987,1.4501708136749782,3,3,3,0.000522074045008,7,both,-0.336704524329606
2648d4ed541751cc,0,1,13,1,-1,,,,,1.524954491750987,1.4501708136749782,-1,-1,-1,,-1,no_rsmr_proposal,
273d4e72b01d53cf,0,1,14,1,8,-1.5629368781690487,-0.2026562918381979,0.9233870002794452,0.8277724176502272,1.524954491750987,1.4501708136749782,8,8,8,-1.5629368781690487,10,both,-0.09561458262921796
