scenario_token,outer_test_fold,operator_execution_contrast_linf,physical_equal,closed_loop_effect_support,closed_loop_beneficial,closed_loop_hard_harm,closed_loop_score_delta,drivable_delta,collision_delta,ttc_delta
00f4aedf9b3c5f65,4,2.0638694763183594,0,1,1,0,0.007006035228211638,0.0,0.0,0.0
02fca515559f520d,1,9.072463989257812,0,1,0,0,-0.06121853552768575,0.0,0.0,0.0
034da27cd2f75292,3,2.0910072326660156,0,0,0,0,0.0,0.0,0.0,0.0
0395a156348a5041,3,113.70987623929977,0,0,0,0,0.0,0.0,0.0,0.0
03dac455f9ec5792,0,3.4135971069335938,0,0,0,0,0.0,0.0,0.0,0.0
045cd7a008c65925,0,17.295013427734375,0,1,0,0,-0.7523120900421573,0.0,0.0,0.0
04e294754b4d56a6,0,2.5134830474853516,0,0,0,0,0.0,0.0,0.0,0.0
052f0d46a5c059a1,4,13.891685485839844,0,1,1,0,0.00047977235247942396,0.0,0.0,0.0
054033a129155c88,3,11.613950729370117,0,0,0,0,0.0,0.0,0.0,0.0
05ba4ac2db9c50d2,0,1.3336029052734375,0,0,0,0,0.0,0.0,0.0,0.0
0624fd97bb1d5859,0,2.332927703857422,0,0,0,0,0.0,0.0,0.0,0.0
06a937676ff65c69,1,19.087566375732422,0,1,1,0,0.013784576769982015,0.0,0.0,0.0
06f2c0171372558e,1,0.0,1,0,0,0,0.0,0.0,0.0,0.0
07db46e8eac253cf,0,4.9365692138671875,0,0,0,0,0.0,0.0,0.0,0.0
07f7850e943e5787,1,42.94990158081055,0,1,1,0,0.015501277169942873,0.0,0.0,0.0
07f8bf05fc975975,4,12.543878555297852,0,0,0,0,0.0,0.0,0.0,0.0
0831e7eae1365d56,3,14.570465087890625,0,1,0,0,-0.0009707896236812452,0.0,0.0,0.0
091cae980d54535d,2,13.768001556396484,0,1,1,0,0.01792456254684216,0.0,0.0,0.0
097a309009705384,2,14.60153579711914,0,0,0,0,0.0,0.0,0.0,0.0
09884abf58435aaa,3,14.660400390625,0,1,1,0,0.000489472674347069,0.0,0.0,0.0
09be490c13cb56b6,3,13.517326354980469,0,1,0,0,-0.006380407034574098,0.0,0.0,0.0
0aea8543e71b5712,2,2.058694839477539,0,1,0,0,-0.0004363825387185827,0.0,0.0,0.0
0af516a5b2725ac6,4,3.1613235473632812,0,0,0,0,0.0,0.0,0.0,0.0
0bd45dc9e3a759c2,1,7.61158561706543,0,1,0,0,0.0,0.0,1.0,0.0
0dd2b9715fc65e18,4,8.926637649536133,0,1,1,0,0.02558064538530669,0.0,0.0,0.0
0e59b30dfd9d5121,2,9.66943359375,0,1,0,0,-0.0001874191675376169,0.0,0.0,0.0
0e7c79855e005220,1,6.624902725219727,0,0,0,0,0.0,0.0,0.0,0.0
0f6992119fc759c4,3,14.624649047851562,0,1,0,0,-0.007485916116527935,0.0,0.0,0.0
0f9ba65f3e2e5c1d,2,68.97521591186523,0,1,0,1,-0.4582242016042999,0.0,-1.0,-1.0
0fb7d56584065e6f,4,14.8326416015625,0,1,1,0,0.120389699557654,0.0,0.0,0.0
